price_£,proprety type,surface,bedroom,bathroom,address,city,principale
239769.0,Apartment,1399.31,2,2,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
1798271.0,House,14531.28,6,6,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
434582.0,House,4305.56,4,6,"Ménara, Marrakech, Marrakesh-Tensift-El Haouz",Marrakech,Marrakesh-Tensift-El Haouz
129875.0,Apartment,893.4,2,2,"Guéliz, Marrakech, Marrakesh-Tensift-El Haouz 40000",Marrakech,Marrakesh-Tensift-El Haouz
199808.0,Apartment,1367.02,3,2,"Anfa, Casablanca, Casablanca-Settat",Casablanca,Casablanca-Settat
359654.0,House,10763.91,5,5,"Route de lOurika, Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
149856.0,Apartment,1291.67,2,2,"Ménara, Marrakech, Marrakesh-Tensift-El Haouz",Marrakech,Marrakesh-Tensift-El Haouz
279731.0,House,3229.17,3,2,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
201806.0,Apartment,947.22,2,2,"Casablanca, Casablanca-Settat",Casablanca,
179827.0,Apartment,1485.42,2,2,"Guéliz, Marrakech, Marrakesh-Tensift-El Haouz 40000",Marrakech,Marrakesh-Tensift-El Haouz
486832.0,House,2690.98,3,3,"marrakech, Marrakesh-Safi",Marrakech,
92911.0,Apartment,699.65,1,1,"Route dAgadir - Essaouira, Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
579443.0,House,10763.91,4,4,"Route de lOurika, Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
149856.0,Apartment,1184.03,4,3,"Guéliz, Marrakech, Marrakesh-Tensift-El Haouz 40000",Marrakech,Marrakesh-Tensift-El Haouz
259750.0,House,5381.96,5,5,"Route de Fez, Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
394621.0,House,5274.32,3,2,"Route de Ouarzazate, Marrakech, Marrakesh-Tensift-El Haouz",Marrakech,Marrakesh-Tensift-El Haouz
254182.0,Apartment,936.46,2,1,"Marrakesh, Marrakesh-Safi",Marrakech,
859174.0,House,14316.0,5,5,"Route de lOurika, Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
209798.0,Apartment,88.0,2,2,"Casablanca, Casablanca-Settat",Casablanca,
1035635.0,House,4843.76,5,3,"IMI OUADDAR, Souss-Massa 80000",Agadir,
612348.0,House,3767.37,6,3,"Imi Ouaddar, Souss-Massa",Agadir,
787755.0,House,2045.14,4,3,"Essaouira, Marrakesh-Safi",Marrakech,
139170.0,Apartment,796.53,2,2,"Essaouira, Marrakesh-Safi",Marrakech,
329683.0,House,301.0,3,3,"Route de lOurika, Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
144025.0,Apartment,861.12,1,1,"Marrakech, Marrakech-Ménara",Marrakech,
186960.0,Apartment,90.0,2,2,"Marrakech, Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
365518.0,Apartment,125.0,3,2,"Gueliz, Marrakech, Marrakesh-Tensift-El Haouz 40000",Marrakech,Marrakesh-Tensift-El Haouz
1085001.0,House,6350.76,5,5,"Marrakech, Marrakech, Province de",Marrakech,Province de
659366.0,House,1300.0,4,4,"Route Amizmiz, Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
714313.0,House,523.0,4,6,"Route Amizmiz, Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
479539.0,House,380.0,5,4,"Route de lOurika, Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
849184.0,House,1400.0,6,6,"Route de Ouarzazate, Marrakech, Marrakesh-Tensift-El Haouz",Marrakech,Marrakesh-Tensift-El Haouz
1198847.0,House,425.0,5,5,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
1298751.0,House,1400.0,5,7,"Route de Fez, Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
699328.0,House,402.0,4,4,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
236672.0,Apartment,85.0,2,2,"Route de Fez, Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
549472.0,Apartment,1377.78,2,1,"Tétouan, Tétouan, Tangier-Tétouan-Al Hoceima",Tétouan,Tangier-Tétouan-Al Hoceima
273088.0,Apartment,120.0,2,2,"Moulay-Bousselham, Moulay-Bousselham, Rabat-Salé-Kénitra",Unknown,Rabat-Salé-Kénitra
86128.0,Apartment,721.18,2,1,"Essaouira, Marrakesh-Safi",Marrakech,
892789.0,House,5651.05,5,5,"Essaouira, Marrakesh-Safi",Marrakech,
139170.0,Apartment,73.0,2,2,"Essaouira, Essaouira, Marrakesh-Safi",Essaouira,Marrakesh-Safi
1380646.0,House,6135.48,4,1,"Casablanca, Casablanca",Casablanca,
407241.0,Apartment,1550.02,2,1,"Rabat, Rabat",Rabat,
1085001.0,House,6350.76,5,5,"Marrakech, Marrakech-Safi",Marrakech,
892789.0,House,525.0,5,5,"Essaouira, Essaouira, Marrakesh-Safi",Essaouira,Marrakesh-Safi
139170.0,Apartment,74.0,2,2,"Essaouira, Essaouira, Marrakesh-Safi",Essaouira,Marrakesh-Safi
124880.0,Apartment,80.0,2,1,"1, Essaouira, Morocco, Essaouira, Marrakesh-Safi",Essaouira,Morocco
432740.0,House,3229.17,3,2,"Marrakesh, Marrakesh-Safi",Marrakech,
1035635.0,House,450.0,5,3,"IMI OUADDAR, Souss-Massa",Agadir,
945173.0,House,5382.0,4,1,"Marrakech, Marrakech-Ménara",Marrakech,
115537.0,House,871.88,2,2,"Essaouira, Marrakesh-Safi",Marrakech,
262585.0,Apartment,180.0,4,2,"Tétouan, Tétouan, Tangier-Tétouan-Al Hoceima",Tétouan,Tangier-Tétouan-Al Hoceima
409606.0,House,400.0,4,4,"Route de lOurika, Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
346612.0,House,2583.34,4,4,"Essaouira, Marrakesh-Safi",Marrakech,
399129.0,House,2368.06,3,3,"Essaouira, Marrakesh-Safi",Marrakech,
399129.0,House,2368.06,3,3,"Essaouira, Marrakesh-Safi",Marrakech,
97156.0,Apartment,1140.97,2,2,"Essaouira, Marrakesh-Safi",Marrakech,
188011.0,House,124.0,3,2,"Unnamed Road, Chtouka Ait Baha Province, Souss-Massa-Draa",Chtouka Ait Baha Province,Souss-Massa-Draa
267543.0,House,200.0,3,2,"Ménara, Marrakech, Marrakesh-Tensift-El Haouz",Marrakech,Marrakesh-Tensift-El Haouz
46215.0,Apartment,753.48,2,1,"Rue 08, No.42 No.Hay Moulay Dris Asilah Morocco, Asilah, Tanger, Province de",Asilah,Asilah
273088.0,Apartment,1291.67,2,2,"Moulay Bousselham, Rabat-Salé-Kénitra",Rabat,
745741.0,House,3293.76,5,4,"AGADIR, Souss-Massa 80000",Agadir,
2835917.0,House,10763.91,9,16,"Marrakech, Marrakesh-Safi",Marrakech,
267743.0,Apartment,166.0,2,1,"Guéliz, Marrakech, Marrakesh-Tensift-El Haouz 40000",Marrakech,Marrakesh-Tensift-El Haouz
46215.0,Apartment,70.0,2,1,"No.Hay Moulay Dris Asilah Morocco Rue 08, No.42, Asilah, Tangier-Tétouan-Al Hoceima",Unknown,Asilah
167839.0,Apartment,200.0,3,2,"Mallalienne, Mallalienne, Tangier-Tétouan-Al Hoceima",Unknown,Tangier-Tétouan-Al Hoceima
1638530.0,House,4768.41,4,4,"Marrakech, Marrakesh-Safi",Marrakech,
1246556.0,House,5737.21,4,1,"Marrakech, Marrakech-Ménara",Marrakech,
409632.0,House,3207.67,4,1,"Marrakech, Marrakech, Province de",Marrakech,Province de
3361087.0,House,17513.03,7,6,"Marrakech, Marrakech, Province de",Marrakech,Province de
362367.0,House,2260.44,3,1,"Marrakech, Marrakech, Province de",Marrakech,Province de
222672.0,Apartment,1819.12,3,1,"Marrakech, Marrakech, Province de",Marrakech,Province de
369825.0,House,3444.48,4,4,"Marrakech, Marrakech, Province de",Marrakech,Province de
246515.0,Apartment,1851.41,3,2,"Marrakech, Marrakech, Province de",Marrakech,Province de
109235.0,Apartment,581.26,1,1,"Marrakech, Marrakech, Province de",Marrakech,Province de
336109.0,Apartment,2572.6,3,1,"Marrakech, Marrakech, Province de",Marrakech,Province de
295881.0,House,3659.76,4,2,"Marrakech, Marrakech, Province de",Marrakech,Province de
98732.0,House,904.18,2,1,"Marrakech, Marrakech, Province de",Marrakech,Province de
789855.0,House,4068.79,4,1,"Marrakech, Marrakech, Province de",Marrakech,Province de
235973.0,Apartment,202.0,3,3,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
4397772.0,House,1700.0,10,10,"MARRAKECH, Marrakesh-Safi 40000",Unknown,
126041.0,Apartment,1323.96,4,2,"Essaouira, Marrakesh-Safi",Marrakech,
115537.0,Apartment,753.47,2,1,"Essaouira, Marrakesh-Safi",Marrakech,
649376.0,House,750.0,3,4,"Route de lOurika, Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
259750.0,Apartment,65.0,2,2,"Agdal, Marrakech, Marrakesh-Tensift-El Haouz",Marrakech,Marrakesh-Tensift-El Haouz
3084249.0,House,26608.61,5,2,"Rabat, Rabat",Rabat,
2483177.0,House,37889.28,1,5,"Tanger, Tanger-Asilah",Tangier,
577687.0,House,5381.96,4,3,"Essaouira, Marrakesh-Safi",Marrakech,
